Date,Open,High,Low,Close,Adj Close,Volume
2020-03-16,12.910000,14.100000,10.850000,12.000000,4.416446,744271600
2020-03-23,12.110000,15.190000,11.280000,13.300000,4.894893,611662100
2020-03-30,13.150000,16.549999,12.830000,15.340000,5.645689,759368600
2020-04-06,16.049999,18.690001,15.180000,16.820000,6.190383,566356000
2020-04-13,16.820000,17.299999,15.530000,16.129999,5.936438,503857100
2020-04-20,15.480000,17.430000,15.280000,15.950000,5.870191,504654300
2020-04-27,16.139999,18.480000,15.780000,18.049999,6.643247,352350800
2020-05-04,17.430000,18.580000,17.180000,18.480000,6.801693,367747100
2020-05-11,18.299999,18.930000,16.719999,17.150000,6.312177,477507300
2020-05-18,18.100000,19.770000,17.920000,18.670000,6.871624,424312600
2020-05-25,19.480000,20.340000,19.150000,20.340000,7.486279,375396300
2020-06-01,20.150000,23.030001,20.000000,22.100000,8.134061,471573400
2020-06-08,22.549999,22.590000,20.100000,20.600000,7.581974,398230500
2020-06-15,19.809999,22.219999,19.540001,21.469999,7.902182,405743400
2020-06-22,21.600000,22.070000,20.709999,20.840000,7.670308,292295100
2020-06-29,21.100000,22.250000,20.930000,21.980000,8.089892,284210000
2020-07-06,22.389999,22.860001,22.059999,22.510000,8.284964,268378300
2020-07-13,22.610001,23.430000,21.860001,22.740000,8.369616,322822900
2020-07-20,22.700001,23.600000,22.420000,22.730000,8.365935,300987300
2020-07-27,22.870001,23.320000,22.160000,22.200001,8.171028,282160400
2020-08-03,22.540001,23.530001,21.250000,22.790001,8.388186,376240400
2020-08-10,22.900000,23.879999,22.530001,22.670000,8.344017,268751100
2020-08-17,22.680000,23.320000,22.150000,22.559999,8.303532,247327700
2020-08-24,22.860001,23.150000,22.040001,22.540001,8.296171,226309400
2020-08-31,22.320000,23.120001,21.889999,22.920000,8.436035,308450900
2020-09-07,22.920000,22.920000,21.750000,21.879999,8.053248,245997400
2020-09-14,21.940001,22.170000,21.430000,21.650000,7.968593,280055200
2020-09-21,21.290001,21.459999,19.870001,20.129999,7.409136,294074400
2020-09-28,20.330000,20.559999,19.020000,19.020000,7.000584,334023800
2020-10-05,19.360001,20.700001,19.240000,19.799999,7.287674,349906800
2020-10-12,19.799999,20.370001,19.320000,19.330000,7.114683,206796000
2020-10-19,19.410000,21.139999,19.250000,20.570000,7.571083,397060000
2020-10-26,20.330000,20.530001,17.740000,18.940001,6.971139,337434800
2020-11-02,18.940001,20.070000,18.940001,19.750000,7.269270,210218100
2020-11-09,21.110001,23.360001,21.040001,22.629999,8.329296,565049800
2020-11-16,23.200001,24.139999,22.980000,23.650000,8.704721,367725600
2020-11-23,24.049999,26.670000,24.040001,25.500000,9.385641,444713100
2020-11-30,25.260000,27.570000,24.840000,27.530001,10.132813,361243900
2020-12-07,27.270000,28.200001,26.400000,27.570000,10.147533,317260600
2020-12-14,28.030001,28.389999,27.469999,28.100000,10.342607,243772500
2020-12-21,27.190001,28.250000,26.520000,27.950001,10.287399,195540900
2020-12-28,28.360001,28.520000,27.990000,28.340000,10.430944,103172600
2021-01-04,28.650000,31.760000,28.240000,31.120001,11.454161,389770900
2021-01-11,30.610001,31.559999,28.030001,28.120001,10.349970,339681900
2021-01-18,28.309999,29.120001,26.559999,27.090000,9.970864,283284700
2021-01-25,27.090000,28.450001,26.530001,26.690001,9.823636,268234700
2021-02-01,27.260000,30.090000,26.830000,28.840000,10.614977,346142100
2021-02-08,28.510000,29.299999,27.120001,28.440001,10.467752,324393500
2021-02-15,28.440001,30.920000,27.170000,27.330000,10.059199,376347400
2021-02-22,22.799999,25.250000,21.400000,22.240000,8.185751,1269093900
2021-03-01,22.799999,23.219999,20.480000,22.389999,8.240960,677940400
2021-03-08,21.940001,23.490000,20.860001,23.170000,8.528050,574235600
2021-03-15,23.110001,24.129999,23.070000,24.000000,8.833545,357112700
2021-03-22,23.690001,23.879999,22.160000,23.459999,8.634789,304725400
2021-03-29,23.340000,24.389999,23.280001,23.889999,8.793057,207901100
2021-04-05,24.129999,24.370001,23.370001,23.650000,8.704721,253006600
2021-04-12,23.959999,24.580000,22.809999,22.950001,8.447078,318802600
2021-04-19,22.950001,24.889999,22.770000,23.690001,9.012904,398425600
2021-04-26,23.850000,24.290001,23.100000,23.620001,8.986272,287155200
2021-05-03,23.799999,24.450001,22.879999,24.379999,9.275414,297626600
2021-05-10,24.799999,26.379999,24.320000,26.299999,10.005881,510932700
2021-05-17,26.299999,26.799999,25.719999,25.950001,9.872726,385979300
2021-05-24,26.280001,27.020000,25.650000,26.990000,10.268395,351752700
2021-05-31,26.959999,28.620001,26.780001,28.500000,10.842877,343786200
2021-06-07,28.500000,29.080000,27.959999,28.570000,10.869509,314437100
2021-06-14,28.900000,29.350000,27.639999,28.320000,10.774395,394831900
2021-06-21,28.400000,29.790001,28.400000,29.100000,11.071150,285988700
2021-06-28,29.180000,29.879999,28.670000,29.180000,11.101584,257344700
2021-07-05,29.010000,29.160000,27.270000,27.490000,10.458621,308236000
2021-07-12,27.580000,28.200001,26.580000,26.680000,10.150456,283256800
2021-07-19,25.969999,27.240000,25.860001,26.740000,10.173283,266375100
2021-07-26,26.740000,27.920000,26.719999,26.910000,10.237959,263498500
2021-08-02,27.200001,28.980000,25.790001,28.389999,10.801027,505371800
2021-08-09,27.950001,29.610001,27.670000,29.350000,11.166260,438147400
2021-08-16,29.200001,29.240000,26.129999,26.600000,10.120019,450242700
2021-08-23,26.940001,28.490000,26.770000,28.490000,11.484647,283550700
2021-08-30,28.400000,28.709999,26.100000,26.330000,10.613927,355293400
2021-09-06,26.209999,26.709999,24.139999,25.340000,10.214846,342146100
2021-09-13,25.799999,26.459999,24.770000,24.930000,10.049569,393351100
2021-09-20,24.080000,27.059999,23.790001,26.900000,10.843700,344364700
2021-09-27,27.139999,28.000000,26.500000,28.000000,11.287123,392511900
2021-10-04,27.760000,29.610001,27.719999,29.120001,11.738608,436727100
2021-10-11,29.500000,30.219999,29.080000,29.600000,11.932101,280724700
2021-10-18,29.400000,29.639999,25.770000,27.180000,10.956573,476471000
2021-10-25,27.760000,29.309999,26.969999,27.150000,10.944477,498193400
2021-11-01,27.709999,28.320000,25.780001,25.850000,10.420434,364500400
2021-11-08,25.809999,27.160000,25.719999,26.990000,10.879981,347713500
2021-11-15,26.990000,27.559999,25.780001,26.100000,10.521210,292971800
2021-11-22,26.299999,29.790001,26.290001,28.469999,11.476584,444764800
2021-11-29,29.360001,30.670000,26.200001,28.760000,11.593488,645678700
2021-12-06,28.780001,30.100000,28.680000,29.650000,13.426691,342485000
2021-12-13,29.670000,30.049999,28.590000,28.990000,13.127817,307507000
2021-12-20,28.440001,28.719999,27.680000,28.330000,12.828943,209185100
2021-12-27,28.320000,29.280001,28.150000,28.500000,12.905926,153653500
2022-01-03,28.540001,29.400000,27.820000,28.180000,12.761018,291574400
2022-01-10,27.990000,31.600000,27.719999,31.450001,14.241802,365633500
2022-01-17,31.400000,32.209999,30.969999,31.770000,14.386714,338053400
2022-01-24,31.690001,34.639999,31.040001,32.540001,14.735399,484187000
2022-01-31,32.500000,33.490002,31.620001,32.630001,14.776154,266471800
2022-02-07,32.549999,33.910000,31.260000,33.759998,15.287862,299966600
2022-02-14,33.860001,33.939999,31.889999,33.000000,14.943706,290747500
2022-02-21,33.049999,35.290001,32.680000,34.000000,15.396544,443863800
